epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.1532,1.64775,3.69487,1.20154,0.0456,0.56007,0.05335,0.04016,1.21723,2.29137,1.02558,5.7283e-05,5.7283e-05,5.7283e-05
2,131.905,1.24469,2.21481,1.02335,0.08111,0.28731,0.08043,0.06072,1.02542,1.94605,0.9574,0.000108943,0.000108943,0.000108943
3,196.621,1.10682,1.90415,0.9846,0.13387,0.37347,0.13323,0.099,0.93799,1.69806,0.93678,0.000154927,0.000154927,0.000154927
4,260.979,1.03938,1.70519,0.96618,0.16719,0.4839,0.17366,0.12958,0.87775,1.54252,0.91567,0.000146458,0.000146458,0.000146458
5,325.301,0.98973,1.5783,0.95103,0.19693,0.51497,0.2142,0.15923,0.87409,1.44577,0.91042,0.000137944,0.000137944,0.000137944
6,389.571,0.95294,1.48709,0.93881,0.24221,0.52929,0.26913,0.20643,0.79678,1.34465,0.88704,0.00012943,0.00012943,0.00012943
7,454.071,0.92728,1.40366,0.93386,0.30293,0.53508,0.33775,0.26066,0.78324,1.25529,0.88937,0.000120916,0.000120916,0.000120916
8,519.026,0.89788,1.31829,0.92605,0.37745,0.55632,0.4215,0.32923,0.74453,1.15527,0.87143,0.000112402,0.000112402,0.000112402
9,583.595,0.882,1.24155,0.92107,0.43299,0.59454,0.49398,0.38765,0.72467,1.07018,0.86747,0.000103888,0.000103888,0.000103888
10,647.507,0.86289,1.17081,0.91633,0.50349,0.61089,0.56524,0.44557,0.71804,0.99556,0.86254,9.5374e-05,9.5374e-05,9.5374e-05
11,709.723,0.77674,1.11823,0.88932,0.54472,0.64599,0.61412,0.48287,0.70887,0.92329,0.85599,8.686e-05,8.686e-05,8.686e-05
12,771.597,0.75318,1.04349,0.88229,0.6176,0.66783,0.67997,0.54266,0.67673,0.85337,0.84964,7.8346e-05,7.8346e-05,7.8346e-05
13,833.96,0.73205,0.98949,0.87638,0.64763,0.69186,0.70959,0.56704,0.67229,0.80946,0.8493,6.9832e-05,6.9832e-05,6.9832e-05
14,896.429,0.7209,0.94449,0.87148,0.69086,0.70838,0.74726,0.60318,0.64728,0.77027,0.84323,6.1318e-05,6.1318e-05,6.1318e-05
15,958.82,0.70399,0.90757,0.86824,0.72124,0.72071,0.77475,0.62021,0.65732,0.73733,0.84524,5.2804e-05,5.2804e-05,5.2804e-05
16,1021.14,0.69581,0.87574,0.86618,0.75051,0.7289,0.79641,0.6438,0.62908,0.70667,0.83705,4.429e-05,4.429e-05,4.429e-05
17,1083.45,0.68217,0.84922,0.86167,0.77343,0.7455,0.81319,0.65887,0.62477,0.68438,0.83531,3.5776e-05,3.5776e-05,3.5776e-05
18,1145.88,0.6712,0.82548,0.85894,0.78361,0.75128,0.82466,0.66623,0.62487,0.67075,0.83554,2.7262e-05,2.7262e-05,2.7262e-05
19,1208.13,0.66532,0.81111,0.85793,0.79376,0.75598,0.83448,0.67736,0.61367,0.65614,0.8323,1.8748e-05,1.8748e-05,1.8748e-05
20,1270.46,0.65335,0.79572,0.85325,0.7998,0.76136,0.83889,0.68418,0.60515,0.64744,0.83081,1.0234e-05,1.0234e-05,1.0234e-05
