epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.7726,0.80472,0.9143,0.89783,0.78338,0.75781,0.83173,0.6689,0.64601,0.68234,0.84118,5.7283e-05,5.7283e-05,5.7283e-05
2,132.853,0.80877,0.90029,0.90013,0.775,0.76755,0.83403,0.63922,0.72285,0.69206,0.85561,0.000112347,0.000112347,0.000112347
3,197.094,0.8058,0.87056,0.89855,0.82501,0.77783,0.86216,0.68178,0.68255,0.64443,0.85149,0.00016514,0.00016514,0.00016514
4,261.196,0.80739,0.84485,0.89884,0.82811,0.80286,0.87929,0.68048,0.71684,0.6284,0.85968,0.000161783,0.000161783,0.000161783
5,325.173,0.79401,0.80966,0.89539,0.84766,0.81502,0.89105,0.71495,0.64883,0.59578,0.84293,0.000158378,0.000158378,0.000158378
6,389.124,0.78463,0.78593,0.8913,0.84652,0.82009,0.89549,0.72178,0.64132,0.58185,0.84114,0.000154972,0.000154972,0.000154972
7,453.23,0.77796,0.76214,0.89041,0.87046,0.84077,0.91327,0.73497,0.6373,0.54992,0.84217,0.000151566,0.000151566,0.000151566
8,517.233,0.76692,0.73077,0.88806,0.88368,0.85184,0.92915,0.75446,0.61818,0.52645,0.83642,0.000148161,0.000148161,0.000148161
9,581.3,0.76641,0.71944,0.88656,0.89193,0.86256,0.93714,0.76485,0.61069,0.51013,0.83476,0.000144755,0.000144755,0.000144755
10,644.031,0.75349,0.69906,0.88427,0.90455,0.88063,0.94483,0.77139,0.60851,0.48792,0.83356,0.00014135,0.00014135,0.00014135
11,706.556,0.74738,0.68306,0.88274,0.90878,0.88344,0.94972,0.77332,0.61062,0.48384,0.83546,0.000137944,0.000137944,0.000137944
12,770.283,0.74616,0.66983,0.88259,0.91166,0.89419,0.95369,0.78241,0.5894,0.46286,0.82838,0.000134538,0.000134538,0.000134538
13,834.248,0.7396,0.65852,0.8798,0.91535,0.90164,0.95789,0.78044,0.60606,0.45989,0.83187,0.000131133,0.000131133,0.000131133
14,897.967,0.73069,0.64315,0.87799,0.91966,0.90142,0.96119,0.78573,0.59477,0.45237,0.83056,0.000127727,0.000127727,0.000127727
15,961.912,0.72478,0.6296,0.87674,0.91554,0.90984,0.961,0.79155,0.58319,0.443,0.82711,0.000124322,0.000124322,0.000124322
16,1025.8,0.71643,0.61568,0.87539,0.9291,0.9122,0.96603,0.80066,0.5686,0.42866,0.82636,0.000120916,0.000120916,0.000120916
17,1089.66,0.70958,0.60953,0.87252,0.93232,0.92015,0.96905,0.80699,0.55352,0.41795,0.82101,0.00011751,0.00011751,0.00011751
18,1153.49,0.70059,0.59703,0.8715,0.93044,0.92212,0.96894,0.80712,0.5521,0.41364,0.8199,0.000114105,0.000114105,0.000114105
19,1217.41,0.69746,0.58722,0.87068,0.9306,0.92913,0.97144,0.81052,0.54811,0.40735,0.81895,0.000110699,0.000110699,0.000110699
20,1281.2,0.68971,0.57906,0.86866,0.93735,0.92981,0.97313,0.81242,0.54745,0.39973,0.81922,0.000107294,0.000107294,0.000107294
21,1343.89,0.68612,0.57136,0.86887,0.93706,0.9334,0.9736,0.81254,0.54805,0.39741,0.81921,0.000103888,0.000103888,0.000103888
